age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
32.0,technician,divorced,secondary,no,,yes,no,unknown,12.0,may,,2.0,-1.0,0.0,unknown,no
31.0,,married,secondary,no,520.0,yes,no,unknown,12.0,may,123.0,7.0,-1.0,0.0,,no
53.0,blue-collar,,unknown,no,0.0,no,no,unknown,12.0,may,140.0,7.0,-1.0,0.0,unknown,
38.0,blue-collar,single,unknown,no,573.0,yes,no,unknown,12.0,,334.0,7.0,-1.0,0.0,unknown,no
57.0,blue-collar,,primary,yes,0.0,yes,,unknown,,may,73.0,3.0,-1.0,,unknown,no
58.0,entrepreneur,married,tertiary,no,146.0,yes,no,unknown,12.0,may,186.0,6.0,,0.0,unknown,no
50.0,blue-collar,married,primary,no,-37.0,yes,no,unknown,12.0,may,78.0,3.0,-1.0,0.0,unknown,no
36.0,blue-collar,single,,no,90.0,yes,no,unknown,12.0,may,,5.0,-1.0,,unknown,no
46.0,blue-collar,married,primary,no,0.0,yes,,unknown,12.0,may,51.0,9.0,-1.0,0.0,unknown,no
,,single,secondary,no,1242.0,yes,no,unknown,12.0,may,303.0,3.0,-1.0,0.0,unknown,no
31.0,admin.,single,secondary,no,98.0,yes,yes,unknown,12.0,may,159.0,,-1.0,0.0,unknown,no
44.0,management,single,tertiary,no,295.0,yes,no,unknown,12.0,may,103.0,8.0,,0.0,unknown,no
53.0,admin.,married,secondary,no,465.0,no,yes,unknown,12.0,may,95.0,3.0,-1.0,0.0,,no
35.0,technician,married,tertiary,no,1473.0,,no,unknown,,may,84.0,3.0,-1.0,0.0,unknown,no
40.0,blue-collar,married,secondary,no,3122.0,yes,no,unknown,12.0,may,344.0,3.0,-1.0,0.0,,no
30.0,technician,single,,no,317.0,,,unknown,12.0,may,246.0,6.0,-1.0,0.0,unknown,
33.0,blue-collar,divorced,secondary,no,176.0,yes,no,unknown,12.0,may,157.0,5.0,-1.0,,unknown,no
,,,secondary,no,661.0,yes,no,unknown,12.0,may,162.0,,-1.0,0.0,unknown,no
25.0,admin.,single,secondary,no,1.0,yes,yes,unknown,12.0,may,,12.0,-1.0,0.0,unknown,no
35.0,blue-collar,married,primary,no,-12.0,yes,no,unknown,12.0,may,212.0,5.0,-1.0,0.0,unknown,no
43.0,blue-collar,married,primary,no,,yes,no,unknown,,may,195.0,2.0,-1.0,0.0,unknown,no
41.0,entrepreneur,married,tertiary,no,171.0,yes,no,unknown,12.0,may,143.0,4.0,-1.0,0.0,unknown,no
55.0,blue-collar,,primary,no,431.0,yes,no,,12.0,may,68.0,2.0,-1.0,0.0,unknown,no
49.0,technician,divorced,secondary,no,,,no,unknown,12.0,may,274.0,6.0,,0.0,unknown,no
30.0,self-employed,married,tertiary,no,227.0,yes,yes,unknown,12.0,may,227.0,,,,unknown,no
37.0,blue-collar,single,secondary,no,336.0,yes,,unknown,,may,152.0,5.0,-1.0,0.0,unknown,no
46.0,unemployed,divorced,secondary,no,41.0,yes,no,,12.0,may,249.0,4.0,-1.0,0.0,,no
36.0,blue-collar,married,secondary,no,1554.0,yes,no,unknown,,may,325.0,4.0,-1.0,0.0,unknown,no
45.0,services,single,secondary,no,141.0,yes,no,unknown,,may,111.0,4.0,-1.0,0.0,unknown,
48.0,blue-collar,married,primary,no,762.0,yes,no,,12.0,may,81.0,4.0,-1.0,0.0,unknown,no
22.0,housemaid,single,secondary,no,650.0,yes,,unknown,12.0,may,,4.0,-1.0,0.0,unknown,
46.0,admin.,married,secondary,no,250.0,no,no,unknown,13.0,,85.0,2.0,-1.0,0.0,unknown,no
39.0,blue-collar,married,secondary,,,yes,no,unknown,13.0,may,141.0,6.0,-1.0,0.0,unknown,no
56.0,admin.,married,secondary,no,11.0,no,no,unknown,13.0,may,42.0,3.0,-1.0,0.0,unknown,no
35.0,management,divorced,tertiary,no,36.0,yes,no,,13.0,may,182.0,6.0,-1.0,0.0,,no
45.0,blue-collar,married,primary,,333.0,yes,no,unknown,13.0,may,160.0,3.0,-1.0,0.0,unknown,no
,technician,married,secondary,no,487.0,yes,no,unknown,13.0,may,176.0,4.0,-1.0,0.0,unknown,no
,admin.,,tertiary,,594.0,,no,unknown,13.0,may,134.0,2.0,-1.0,,unknown,no
52.0,services,married,tertiary,no,1135.0,yes,yes,unknown,13.0,may,,5.0,-1.0,,unknown,no
26.0,admin.,divorced,secondary,yes,-3.0,yes,no,unknown,13.0,may,181.0,5.0,-1.0,,unknown,no
22.0,blue-collar,single,primary,,-168.0,,,unknown,,may,160.0,3.0,-1.0,0.0,unknown,no
35.0,blue-collar,married,primary,no,414.0,no,no,unknown,13.0,may,504.0,4.0,-1.0,0.0,unknown,yes
44.0,technician,single,tertiary,no,166.0,yes,no,unknown,13.0,may,267.0,3.0,-1.0,0.0,unknown,no
31.0,blue-collar,married,secondary,no,,,no,unknown,13.0,may,,2.0,-1.0,0.0,unknown,no
28.0,blue-collar,married,secondary,no,-95.0,yes,no,unknown,13.0,may,200.0,1.0,-1.0,0.0,unknown,no
23.0,technician,single,secondary,no,158.0,yes,no,unknown,13.0,may,139.0,1.0,-1.0,0.0,unknown,no
,technician,single,secondary,,8.0,,no,unknown,13.0,,147.0,1.0,-1.0,0.0,unknown,no
31.0,,single,secondary,no,296.0,yes,no,unknown,13.0,may,161.0,1.0,,,unknown,no
27.0,admin.,single,secondary,,-541.0,yes,yes,,13.0,may,153.0,1.0,-1.0,0.0,unknown,no
34.0,services,single,secondary,no,23.0,no,no,unknown,13.0,may,109.0,,-1.0,0.0,unknown,no
25.0,blue-collar,single,primary,no,17.0,yes,no,unknown,13.0,may,97.0,2.0,-1.0,0.0,unknown,no
25.0,blue-collar,single,secondary,no,335.0,yes,no,unknown,,,,,-1.0,0.0,unknown,no
22.0,services,single,,no,395.0,yes,no,unknown,13.0,may,70.0,1.0,-1.0,0.0,unknown,no
37.0,blue-collar,divorced,secondary,no,178.0,yes,no,unknown,13.0,may,71.0,1.0,-1.0,0.0,unknown,no
26.0,entrepreneur,single,secondary,no,101.0,yes,no,unknown,13.0,may,723.0,1.0,-1.0,0.0,unknown,no
32.0,blue-collar,married,secondary,,,yes,no,unknown,13.0,may,518.0,1.0,-1.0,0.0,unknown,no
26.0,technician,single,,no,24299.0,yes,no,,,may,704.0,1.0,-1.0,0.0,unknown,no
,blue-collar,single,secondary,,181.0,no,no,unknown,,may,147.0,1.0,-1.0,0.0,unknown,
22.0,services,married,secondary,no,83.0,yes,no,unknown,13.0,may,101.0,,-1.0,0.0,unknown,no
32.0,technician,married,secondary,no,175.0,yes,no,unknown,13.0,may,,1.0,-1.0,0.0,unknown,no
33.0,management,divorced,secondary,no,5.0,yes,no,unknown,13.0,may,1346.0,1.0,-1.0,0.0,unknown,yes
34.0,admin.,married,secondary,no,3185.0,yes,no,unknown,13.0,may,520.0,1.0,-1.0,0.0,unknown,no
31.0,blue-collar,married,secondary,no,2577.0,yes,,unknown,13.0,,611.0,2.0,-1.0,0.0,,no
28.0,technician,single,secondary,no,216.0,yes,no,unknown,13.0,may,66.0,1.0,-1.0,0.0,unknown,no
37.0,blue-collar,married,secondary,no,166.0,yes,no,unknown,13.0,may,135.0,3.0,-1.0,0.0,unknown,no
45.0,blue-collar,married,primary,no,323.0,yes,,unknown,13.0,may,276.0,2.0,-1.0,0.0,unknown,no
31.0,management,married,,no,334.0,yes,no,,13.0,may,449.0,1.0,-1.0,0.0,unknown,no
48.0,entrepreneur,married,secondary,no,86.0,yes,,unknown,13.0,may,98.0,1.0,-1.0,,,no
24.0,admin.,single,secondary,no,845.0,yes,no,unknown,13.0,,105.0,1.0,-1.0,0.0,unknown,no
24.0,technician,single,secondary,no,-126.0,yes,yes,unknown,13.0,may,382.0,2.0,,0.0,,no
45.0,services,married,secondary,no,-3.0,yes,no,unknown,13.0,may,,1.0,-1.0,0.0,unknown,no
26.0,services,married,secondary,no,54.0,yes,no,unknown,13.0,may,116.0,1.0,-1.0,0.0,unknown,no
24.0,,single,secondary,,-192.0,yes,no,unknown,13.0,,125.0,1.0,-1.0,0.0,unknown,no
29.0,blue-collar,married,secondary,no,125.0,yes,no,unknown,13.0,may,50.0,1.0,-1.0,0.0,unknown,no
34.0,blue-collar,single,primary,no,2146.0,yes,,unknown,13.0,may,,1.0,-1.0,0.0,unknown,no
30.0,technician,single,tertiary,no,-522.0,yes,no,,,may,375.0,1.0,-1.0,0.0,unknown,no
21.0,student,single,secondary,no,99.0,yes,no,unknown,13.0,may,49.0,1.0,-1.0,0.0,unknown,no
42.0,blue-collar,married,secondary,no,-1664.0,,no,unknown,,may,169.0,1.0,-1.0,0.0,unknown,no
32.0,unemployed,married,,yes,,yes,no,unknown,13.0,may,178.0,2.0,-1.0,0.0,unknown,no
40.0,services,,secondary,no,2172.0,,yes,unknown,13.0,,1386.0,1.0,-1.0,0.0,unknown,no
33.0,management,single,tertiary,,168.0,yes,no,unknown,13.0,,155.0,1.0,-1.0,0.0,unknown,no
,technician,,primary,no,62.0,yes,yes,unknown,13.0,may,120.0,1.0,,0.0,unknown,no
25.0,admin.,single,secondary,no,768.0,yes,no,unknown,13.0,may,203.0,1.0,-1.0,0.0,unknown,no
41.0,,married,secondary,no,429.0,yes,no,unknown,13.0,may,244.0,1.0,-1.0,0.0,unknown,no
37.0,admin.,married,secondary,no,36.0,yes,no,unknown,13.0,may,428.0,1.0,-1.0,0.0,unknown,no
29.0,,married,,no,,yes,no,unknown,13.0,may,53.0,1.0,-1.0,0.0,unknown,no
29.0,technician,single,,no,544.0,yes,no,unknown,13.0,,360.0,,-1.0,0.0,unknown,no
46.0,services,divorced,primary,no,91.0,yes,no,unknown,13.0,may,215.0,1.0,-1.0,0.0,unknown,no
32.0,management,single,tertiary,yes,,yes,no,unknown,13.0,may,500.0,,-1.0,0.0,unknown,no
30.0,admin.,single,secondary,no,1374.0,yes,no,unknown,,may,207.0,1.0,-1.0,0.0,,no
38.0,management,married,tertiary,no,119.0,yes,no,unknown,13.0,may,568.0,,-1.0,0.0,unknown,yes
22.0,services,,secondary,no,279.0,yes,no,unknown,13.0,,270.0,1.0,-1.0,0.0,unknown,no
22.0,management,,secondary,no,594.0,yes,no,unknown,13.0,may,154.0,1.0,-1.0,0.0,unknown,no
32.0,services,single,secondary,no,-121.0,yes,yes,unknown,13.0,may,272.0,1.0,-1.0,0.0,unknown,no
36.0,blue-collar,married,secondary,no,,yes,,unknown,13.0,may,229.0,1.0,-1.0,0.0,unknown,no
30.0,technician,single,secondary,no,-208.0,yes,yes,unknown,13.0,may,108.0,1.0,-1.0,0.0,unknown,no
26.0,blue-collar,single,secondary,no,309.0,yes,no,unknown,13.0,may,210.0,1.0,-1.0,0.0,,no
41.0,blue-collar,,primary,yes,210.0,yes,no,unknown,13.0,may,383.0,1.0,-1.0,0.0,unknown,no
42.0,,,,no,135.0,yes,no,unknown,13.0,may,259.0,6.0,-1.0,0.0,unknown,no
45.0,blue-collar,,secondary,no,,yes,no,unknown,13.0,may,3366.0,,-1.0,0.0,unknown,no
24.0,,single,secondary,yes,-122.0,yes,no,unknown,13.0,may,1000.0,1.0,-1.0,0.0,unknown,yes
54.0,retired,divorced,tertiary,no,0.0,,no,unknown,13.0,may,618.0,1.0,-1.0,0.0,,yes
33.0,blue-collar,single,,no,-90.0,yes,no,,13.0,may,415.0,1.0,-1.0,0.0,unknown,no
28.0,blue-collar,married,primary,no,286.0,yes,no,unknown,13.0,may,237.0,1.0,-1.0,0.0,unknown,no
36.0,admin.,married,secondary,no,,yes,yes,unknown,,may,106.0,1.0,-1.0,0.0,unknown,no
,,single,primary,no,505.0,yes,no,unknown,,may,,,-1.0,0.0,unknown,no
28.0,admin.,single,secondary,no,296.0,yes,no,,13.0,may,218.0,1.0,-1.0,0.0,unknown,no
31.0,technician,single,tertiary,no,279.0,yes,no,unknown,13.0,may,198.0,1.0,-1.0,0.0,unknown,no
53.0,services,married,secondary,no,367.0,yes,yes,unknown,13.0,may,284.0,2.0,-1.0,0.0,unknown,no
,blue-collar,single,secondary,no,129.0,yes,yes,unknown,13.0,may,190.0,,-1.0,0.0,unknown,no
47.0,retired,married,primary,yes,-13.0,no,,unknown,13.0,may,295.0,1.0,-1.0,0.0,unknown,no
,blue-collar,,primary,no,,yes,no,,13.0,,262.0,1.0,-1.0,0.0,unknown,
24.0,blue-collar,single,secondary,no,-10.0,yes,no,unknown,13.0,may,106.0,,-1.0,0.0,unknown,no
23.0,admin.,single,,no,5.0,,no,unknown,13.0,may,93.0,1.0,-1.0,0.0,unknown,no
27.0,blue-collar,single,secondary,no,71.0,yes,no,unknown,,may,174.0,1.0,-1.0,0.0,unknown,no
23.0,admin.,single,secondary,no,281.0,yes,no,unknown,13.0,may,124.0,1.0,-1.0,0.0,unknown,no
30.0,blue-collar,married,secondary,no,,yes,,unknown,13.0,may,217.0,1.0,-1.0,,unknown,no
34.0,blue-collar,divorced,secondary,no,383.0,,no,unknown,,may,2231.0,1.0,-1.0,0.0,unknown,yes
55.0,blue-collar,,primary,no,39.0,yes,no,unknown,13.0,may,343.0,1.0,-1.0,0.0,unknown,no
57.0,management,,primary,no,1052.0,yes,no,unknown,13.0,may,227.0,4.0,,0.0,unknown,no
59.0,retired,divorced,unknown,no,-49.0,yes,no,unknown,13.0,may,248.0,,-1.0,0.0,unknown,no
20.0,services,single,,no,-103.0,yes,no,,,may,180.0,1.0,-1.0,0.0,unknown,no
30.0,services,married,,yes,-846.0,yes,no,unknown,13.0,,117.0,1.0,-1.0,0.0,unknown,
41.0,admin.,married,,no,705.0,yes,no,,13.0,may,205.0,1.0,-1.0,,unknown,no
37.0,services,single,secondary,no,1950.0,yes,no,unknown,13.0,may,370.0,,-1.0,,unknown,no
,,,secondary,no,,yes,no,,13.0,may,289.0,2.0,-1.0,0.0,unknown,no
39.0,management,single,tertiary,no,595.0,yes,no,,13.0,may,427.0,1.0,-1.0,0.0,unknown,no
28.0,blue-collar,married,secondary,no,-185.0,yes,yes,unknown,13.0,,170.0,1.0,,0.0,unknown,no
44.0,,married,primary,no,353.0,,no,unknown,13.0,may,705.0,1.0,-1.0,0.0,unknown,no
31.0,technician,married,secondary,no,2363.0,yes,no,unknown,13.0,may,247.0,1.0,-1.0,0.0,unknown,no
28.0,blue-collar,married,unknown,no,52.0,yes,no,unknown,,may,226.0,1.0,-1.0,0.0,unknown,no
51.0,technician,married,unknown,no,205.0,yes,yes,unknown,13.0,may,,1.0,-1.0,0.0,unknown,no
34.0,management,married,,no,1557.0,yes,yes,unknown,13.0,may,213.0,1.0,-1.0,0.0,unknown,no
24.0,technician,single,tertiary,no,596.0,yes,no,unknown,13.0,may,451.0,1.0,-1.0,0.0,unknown,no
29.0,self-employed,single,tertiary,no,-114.0,yes,no,unknown,13.0,may,174.0,1.0,-1.0,0.0,unknown,no
50.0,management,married,,no,478.0,no,no,unknown,13.0,,126.0,5.0,-1.0,0.0,unknown,no
,blue-collar,single,secondary,no,614.0,yes,no,unknown,13.0,may,243.0,3.0,-1.0,0.0,unknown,no
29.0,blue-collar,single,secondary,no,783.0,yes,no,unknown,13.0,may,166.0,1.0,-1.0,,unknown,no
26.0,,single,secondary,no,401.0,yes,no,,13.0,may,373.0,1.0,-1.0,0.0,unknown,
26.0,admin.,single,secondary,no,92.0,yes,no,unknown,13.0,may,259.0,1.0,-1.0,,unknown,no
,blue-collar,single,secondary,no,-273.0,yes,yes,,13.0,may,340.0,1.0,-1.0,0.0,unknown,no
23.0,blue-collar,,primary,no,2594.0,yes,no,unknown,13.0,may,193.0,1.0,-1.0,0.0,unknown,no
,services,single,secondary,no,382.0,yes,no,unknown,13.0,,392.0,1.0,-1.0,,unknown,no
40.0,blue-collar,married,primary,no,-166.0,yes,no,unknown,13.0,may,136.0,1.0,-1.0,0.0,unknown,no
39.0,admin.,divorced,secondary,no,-141.0,,no,unknown,13.0,may,148.0,1.0,-1.0,0.0,unknown,no
25.0,blue-collar,single,secondary,no,,yes,,,13.0,,456.0,1.0,-1.0,0.0,unknown,no
26.0,technician,,tertiary,no,3825.0,yes,no,unknown,,may,107.0,1.0,-1.0,0.0,unknown,no
57.0,technician,married,secondary,no,0.0,no,no,unknown,13.0,may,44.0,1.0,-1.0,,unknown,
61.0,retired,married,primary,no,1060.0,yes,no,unknown,,may,118.0,1.0,-1.0,,unknown,no
,blue-collar,married,secondary,no,-185.0,,yes,,13.0,may,276.0,1.0,-1.0,0.0,,no
47.0,unemployed,,secondary,,,yes,,unknown,13.0,may,,1.0,,0.0,unknown,no
31.0,self-employed,married,secondary,no,263.0,yes,no,unknown,13.0,may,150.0,2.0,-1.0,0.0,unknown,no
45.0,,married,secondary,no,,yes,no,unknown,13.0,may,118.0,1.0,,0.0,unknown,no
33.0,technician,single,tertiary,no,989.0,yes,yes,unknown,13.0,may,232.0,3.0,-1.0,0.0,unknown,
27.0,technician,,secondary,no,232.0,,yes,unknown,13.0,may,1167.0,1.0,-1.0,0.0,unknown,no
41.0,unemployed,married,primary,no,1483.0,yes,no,unknown,13.0,may,227.0,1.0,-1.0,0.0,,no
58.0,,married,secondary,no,7495.0,yes,no,unknown,13.0,may,325.0,1.0,-1.0,0.0,unknown,no
45.0,management,married,tertiary,no,0.0,yes,yes,unknown,13.0,may,147.0,1.0,-1.0,0.0,unknown,no
49.0,self-employed,married,tertiary,no,2199.0,yes,no,unknown,13.0,may,98.0,1.0,,0.0,unknown,no
,blue-collar,married,secondary,no,476.0,yes,no,unknown,13.0,may,93.0,1.0,-1.0,0.0,,no
52.0,blue-collar,married,secondary,no,148.0,yes,,unknown,13.0,may,83.0,1.0,,0.0,unknown,no
52.0,services,married,secondary,no,3241.0,yes,no,unknown,13.0,may,105.0,1.0,,0.0,unknown,no
,retired,married,primary,no,2665.0,yes,no,unknown,13.0,may,67.0,1.0,-1.0,0.0,,no
59.0,retired,married,,no,1875.0,yes,no,unknown,,may,77.0,1.0,-1.0,,unknown,no
54.0,management,married,primary,,879.0,yes,no,,13.0,may,191.0,1.0,-1.0,0.0,unknown,no
46.0,blue-collar,married,secondary,no,1934.0,yes,no,,13.0,may,20.0,,-1.0,0.0,unknown,no
44.0,management,married,tertiary,no,0.0,no,no,unknown,,may,27.0,1.0,,0.0,unknown,
26.0,services,married,secondary,,380.0,yes,no,unknown,13.0,may,260.0,3.0,-1.0,0.0,unknown,
46.0,blue-collar,married,secondary,no,2485.0,,no,unknown,13.0,may,174.0,4.0,-1.0,0.0,unknown,no
59.0,retired,,primary,no,5521.0,yes,,unknown,13.0,may,94.0,1.0,-1.0,0.0,unknown,
43.0,blue-collar,married,unknown,no,24.0,yes,no,unknown,13.0,may,23.0,2.0,-1.0,0.0,unknown,no
50.0,blue-collar,,secondary,no,160.0,yes,no,unknown,13.0,may,334.0,1.0,-1.0,0.0,unknown,
,blue-collar,single,secondary,no,-204.0,yes,no,unknown,13.0,may,609.0,2.0,-1.0,0.0,unknown,no
54.0,blue-collar,married,,no,363.0,yes,no,unknown,13.0,may,202.0,1.0,-1.0,0.0,unknown,no
44.0,technician,divorced,secondary,no,181.0,no,no,unknown,13.0,may,302.0,1.0,-1.0,0.0,unknown,no
36.0,admin.,,secondary,no,307.0,yes,,unknown,13.0,may,121.0,2.0,-1.0,0.0,unknown,no
51.0,services,married,unknown,no,193.0,yes,no,unknown,13.0,may,202.0,3.0,-1.0,0.0,unknown,no
59.0,retired,married,secondary,no,3382.0,yes,no,unknown,13.0,may,806.0,1.0,-1.0,0.0,unknown,no
42.0,management,,tertiary,no,1823.0,,no,unknown,13.0,may,31.0,1.0,,0.0,,no
41.0,services,married,secondary,no,,yes,no,,13.0,may,21.0,1.0,-1.0,0.0,,no
43.0,blue-collar,,unknown,,3373.0,yes,no,unknown,13.0,may,156.0,1.0,-1.0,0.0,unknown,no
40.0,self-employed,married,primary,no,92.0,yes,no,unknown,13.0,may,92.0,,-1.0,,unknown,
32.0,technician,married,tertiary,no,463.0,yes,no,unknown,13.0,may,128.0,2.0,-1.0,0.0,unknown,no
55.0,technician,married,unknown,no,,yes,no,unknown,13.0,may,481.0,1.0,-1.0,0.0,unknown,no
59.0,retired,married,secondary,no,2376.0,,no,unknown,13.0,may,766.0,1.0,-1.0,0.0,unknown,no
30.0,blue-collar,married,secondary,no,-166.0,yes,,unknown,13.0,may,255.0,5.0,-1.0,0.0,unknown,no
47.0,admin.,,secondary,no,3960.0,yes,no,unknown,13.0,may,110.0,1.0,-1.0,0.0,unknown,no
23.0,entrepreneur,single,primary,no,,yes,no,unknown,13.0,may,395.0,2.0,-1.0,0.0,unknown,yes
44.0,blue-collar,married,primary,no,23.0,yes,no,unknown,13.0,may,135.0,1.0,,0.0,unknown,no
45.0,technician,married,secondary,no,639.0,yes,no,unknown,13.0,may,192.0,,-1.0,0.0,unknown,no
35.0,technician,single,secondary,no,2144.0,yes,no,unknown,13.0,may,188.0,2.0,-1.0,0.0,unknown,no
41.0,technician,,secondary,no,225.0,yes,yes,,13.0,may,139.0,1.0,-1.0,0.0,unknown,no
59.0,management,divorced,primary,no,13308.0,yes,no,unknown,13.0,may,131.0,1.0,-1.0,0.0,unknown,no
,services,single,primary,no,95.0,yes,no,unknown,13.0,may,266.0,2.0,-1.0,0.0,unknown,
48.0,services,married,secondary,no,1199.0,yes,no,unknown,13.0,may,,1.0,-1.0,0.0,unknown,no
49.0,management,married,,no,400.0,yes,no,,13.0,may,122.0,1.0,-1.0,,unknown,no
60.0,blue-collar,married,primary,,1262.0,yes,yes,unknown,,may,1015.0,1.0,-1.0,0.0,unknown,yes
45.0,management,married,,,849.0,no,no,unknown,13.0,may,60.0,1.0,-1.0,,,no
48.0,management,married,tertiary,no,1949.0,yes,no,unknown,13.0,may,683.0,2.0,-1.0,0.0,unknown,yes
45.0,,divorced,tertiary,no,-395.0,yes,,unknown,13.0,may,470.0,1.0,-1.0,0.0,unknown,yes
48.0,,married,tertiary,no,618.0,no,no,unknown,13.0,may,,1.0,-1.0,0.0,unknown,no
54.0,retired,married,primary,no,0.0,yes,no,unknown,13.0,may,106.0,1.0,-1.0,0.0,unknown,
44.0,technician,married,tertiary,,0.0,yes,yes,unknown,13.0,may,127.0,2.0,,0.0,unknown,no
46.0,blue-collar,single,primary,no,355.0,yes,no,unknown,13.0,may,320.0,1.0,-1.0,,unknown,no
52.0,admin.,,secondary,no,131.0,yes,,,13.0,may,145.0,1.0,-1.0,0.0,unknown,no
44.0,management,married,tertiary,no,6203.0,yes,yes,unknown,13.0,may,129.0,1.0,-1.0,0.0,unknown,no
52.0,services,divorced,secondary,no,1635.0,yes,,,13.0,may,730.0,1.0,-1.0,0.0,unknown,
46.0,entrepreneur,,tertiary,,580.0,yes,,unknown,13.0,may,,1.0,-1.0,0.0,unknown,no
54.0,admin.,divorced,secondary,,1814.0,no,no,unknown,13.0,may,521.0,1.0,-1.0,0.0,unknown,no
49.0,,divorced,secondary,no,159.0,,no,unknown,13.0,may,95.0,3.0,-1.0,0.0,unknown,no
46.0,,married,tertiary,no,48.0,no,,unknown,13.0,may,120.0,1.0,-1.0,0.0,unknown,no
48.0,services,divorced,primary,no,189.0,,no,unknown,13.0,may,768.0,1.0,-1.0,0.0,unknown,no
43.0,blue-collar,married,unknown,no,-633.0,yes,yes,unknown,13.0,may,277.0,1.0,-1.0,0.0,unknown,no
50.0,,married,primary,no,,no,no,unknown,13.0,may,289.0,1.0,-1.0,0.0,unknown,no
44.0,blue-collar,married,secondary,no,,yes,no,,13.0,may,473.0,1.0,-1.0,,unknown,no
,unemployed,divorced,secondary,no,,yes,no,unknown,13.0,may,,1.0,-1.0,0.0,unknown,no
51.0,admin.,single,secondary,no,3132.0,no,no,unknown,13.0,may,459.0,1.0,-1.0,0.0,unknown,no
59.0,,married,,no,-892.0,yes,no,unknown,13.0,may,129.0,1.0,-1.0,0.0,unknown,no
52.0,technician,married,secondary,no,11.0,yes,,unknown,13.0,may,420.0,1.0,-1.0,,unknown,no
35.0,admin.,single,secondary,no,414.0,yes,no,unknown,13.0,may,386.0,2.0,-1.0,0.0,unknown,no
36.0,blue-collar,married,secondary,no,1165.0,yes,no,unknown,,may,1001.0,4.0,-1.0,0.0,unknown,yes
,,married,secondary,no,3839.0,yes,no,unknown,13.0,may,76.0,1.0,-1.0,0.0,unknown,no
41.0,blue-collar,married,secondary,no,196.0,yes,no,unknown,13.0,may,488.0,1.0,-1.0,0.0,unknown,
47.0,blue-collar,,primary,no,521.0,yes,no,unknown,13.0,may,262.0,,-1.0,0.0,unknown,no
,,married,secondary,no,350.0,yes,yes,unknown,13.0,may,146.0,1.0,-1.0,0.0,,no
45.0,blue-collar,married,secondary,no,8680.0,yes,no,unknown,13.0,may,503.0,1.0,-1.0,0.0,unknown,no
45.0,entrepreneur,divorced,tertiary,no,0.0,yes,no,unknown,13.0,may,170.0,1.0,-1.0,,unknown,no
29.0,technician,single,secondary,,309.0,yes,no,unknown,13.0,may,214.0,1.0,-1.0,0.0,unknown,no
36.0,management,married,tertiary,no,125.0,yes,no,unknown,,may,355.0,1.0,-1.0,0.0,unknown,no
37.0,blue-collar,divorced,,no,,yes,no,unknown,13.0,may,194.0,2.0,,0.0,unknown,no
44.0,admin.,married,secondary,no,1362.0,yes,no,unknown,,may,46.0,1.0,-1.0,0.0,unknown,no
56.0,retired,,secondary,,296.0,yes,no,,13.0,may,128.0,,,0.0,unknown,no
52.0,management,married,,no,2240.0,,,unknown,13.0,may,845.0,1.0,-1.0,0.0,unknown,yes
57.0,management,married,secondary,,1026.0,yes,no,unknown,13.0,may,52.0,2.0,-1.0,,,no
54.0,services,married,,no,1301.0,yes,no,unknown,13.0,may,173.0,1.0,-1.0,0.0,unknown,no
49.0,entrepreneur,married,primary,no,199.0,no,no,unknown,13.0,may,113.0,2.0,-1.0,0.0,,no
24.0,blue-collar,single,unknown,no,11.0,yes,no,unknown,13.0,may,109.0,2.0,-1.0,0.0,unknown,no
42.0,,married,,no,5.0,yes,,unknown,13.0,may,853.0,1.0,,0.0,unknown,no
40.0,management,married,tertiary,no,373.0,yes,yes,unknown,13.0,may,518.0,1.0,-1.0,0.0,unknown,no
25.0,management,,tertiary,no,,yes,no,unknown,13.0,may,124.0,2.0,,0.0,unknown,no
28.0,blue-collar,single,secondary,no,416.0,yes,no,,13.0,may,452.0,2.0,-1.0,0.0,unknown,no
53.0,,married,secondary,no,-27.0,no,no,unknown,13.0,may,209.0,9.0,-1.0,0.0,unknown,no
40.0,admin.,divorced,secondary,no,221.0,yes,no,unknown,13.0,,154.0,2.0,-1.0,,unknown,no
27.0,services,single,secondary,no,331.0,yes,no,unknown,,may,,2.0,-1.0,0.0,unknown,no
34.0,management,married,tertiary,no,402.0,yes,no,unknown,13.0,may,813.0,2.0,-1.0,0.0,unknown,no
56.0,self-employed,married,secondary,no,123.0,no,no,unknown,13.0,may,81.0,1.0,,0.0,unknown,no
45.0,blue-collar,married,secondary,no,105.0,yes,,unknown,13.0,may,119.0,1.0,-1.0,0.0,unknown,
27.0,blue-collar,married,secondary,no,0.0,yes,no,unknown,13.0,may,296.0,1.0,-1.0,0.0,unknown,no
,retired,married,,no,,no,,unknown,13.0,may,916.0,2.0,-1.0,0.0,unknown,no
34.0,technician,single,tertiary,no,2.0,yes,no,unknown,13.0,,60.0,2.0,-1.0,0.0,,no
,admin.,single,unknown,no,3.0,yes,no,unknown,13.0,may,443.0,1.0,-1.0,0.0,unknown,no
,blue-collar,married,primary,no,399.0,yes,,unknown,13.0,may,353.0,1.0,-1.0,0.0,unknown,no
53.0,retired,,secondary,no,1421.0,yes,no,unknown,13.0,may,225.0,2.0,-1.0,0.0,unknown,no
,technician,married,,no,,yes,yes,unknown,13.0,may,262.0,2.0,-1.0,,unknown,no
